model_id,author,downloads,likes,last_modified,library_name,pipeline_tag,tags,l1_card,l2_main_config,l3_separate_config,l4_diffusers_config,l5_readme,l6_tags,l7_model_id,l8_model_type,l9_safetensors_index,base_model_final,is_base_model_valid,is_multimodal,dataset_deps,extract_source,status,error_msg
sentence-transformers/all-MiniLM-L6-v2,未知,206994378,4610,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,tf,rust,onnx,safetensors,openvino,bert,feature-extraction,sentence-similarity,transformers,en,dataset:s2orc,dataset:flax-sentence-embeddings/stackexchange_xml,dataset:ms_marco,dataset:gooaq,dataset:yahoo_answers_topics,dataset:code_search_net,dataset:search_qa,dataset:eli5,dataset:snli,dataset:multi_nli,dataset:wikihow,dataset:natural_questions,dataset:trivia_qa,dataset:embedding-data/sentence-compression,dataset:embedding-data/flickr30k-captions,dataset:embedding-data/altlex,dataset:embedding-data/simple-wiki,dataset:embedding-data/QQP,dataset:embedding-data/SPECTER,dataset:embedding-data/PAQ_pairs,dataset:embedding-data/WikiAnswers,arxiv:1904.06472,arxiv:2102.07033,arxiv:2104.08727,arxiv:1704.05179,arxiv:1810.09305,license:apache-2.0,eval-results,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,nreimers/MiniLM-L6-H384-uncased,无,无,无,无,无,bert-base-uncased,无,nreimers/MiniLM-L6-H384-uncased,True,False,"['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers']",主配置文件,success,
google-bert/bert-base-uncased,未知,72315930,2590,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,rust,coreml,onnx,safetensors,bert,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1810.04805,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,bert-base-uncased,无,bert-base-uncased,False,False,"['bookcorpus', 'wikipedia']",模型ID语义解析,success,
google/electra-base-discriminator,未知,50904691,86,未知,transformers,未知,"transformers,pytorch,tf,jax,rust,electra,pretraining,en,arxiv:1406.2661,license:apache-2.0,endpoints_compatible,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,[],官方基座模型,success,
Falconsai/nsfw_image_detection,未知,41155377,1018,未知,transformers,image-classification,"transformers,pytorch,safetensors,vit,image-classification,arxiv:2010.11929,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,Falconsai/nsfw_image_detection,无,无,无,无,无,google/vit-base-patch16-224,无,Falconsai/nsfw_image_detection,True,False,[],主配置文件,success,
sentence-transformers/all-mpnet-base-v2,未知,28344265,1262,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,onnx,safetensors,openvino,mpnet,fill-mask,feature-extraction,sentence-similarity,transformers,text-embeddings-inference,en,dataset:s2orc,dataset:flax-sentence-embeddings/stackexchange_xml,dataset:ms_marco,dataset:gooaq,dataset:yahoo_answers_topics,dataset:code_search_net,dataset:search_qa,dataset:eli5,dataset:snli,dataset:multi_nli,dataset:wikihow,dataset:natural_questions,dataset:trivia_qa,dataset:embedding-data/sentence-compression,dataset:embedding-data/flickr30k-captions,dataset:embedding-data/altlex,dataset:embedding-data/simple-wiki,dataset:embedding-data/QQP,dataset:embedding-data/SPECTER,dataset:embedding-data/PAQ_pairs,dataset:embedding-data/WikiAnswers,arxiv:1904.06472,arxiv:2102.07033,arxiv:2104.08727,arxiv:1704.05179,arxiv:1810.09305,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",无,microsoft/mpnet-base,无,无,无,无,无,无,无,microsoft/mpnet-base,True,False,"['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers']",主配置文件,success,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,未知,26182211,1169,未知,sentence-transformers,sentence-similarity,"sentence-transformers,pytorch,tf,onnx,safetensors,openvino,bert,feature-extraction,sentence-similarity,transformers,multilingual,ar,bg,ca,cs,da,de,el,en,es,et,fa,fi,fr,gl,gu,he,hi,hr,hu,hy,id,it,ja,ka,ko,ku,lt,lv,mk,mn,mr,ms,my,nb,nl,pl,pt,ro,ru,sk,sl,sq,sr,sv,th,tr,uk,ur,vi,arxiv:1908.10084,license:apache-2.0,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us",无,old_models/paraphrase-multilingual-MiniLM-L12-v2/0_Transformer,无,无,无,无,无,bert-base-uncased,无,old_models/paraphrase-multilingual-MiniLM-L12-v2/0_Transformer,False,False,[],主配置文件,success,
laion/clap-htsat-fused,未知,26054290,65,未知,transformers,audio-classification,"transformers,pytorch,safetensors,clap,feature-extraction,zero-shot audio classification,zero-shot audio retrieval,audio-classification,en,arxiv:2211.06687,license:apache-2.0,endpoints_compatible,region:us",无,无,无,无,无,无,无,无,无,多模态内部组件,False,True,[],多模态配置识别,success,
openai/clip-vit-large-patch14,未知,22482658,1974,未知,transformers,zero-shot-image-classification,"transformers,pytorch,tf,jax,safetensors,clip,zero-shot-image-classification,vision,arxiv:2103.00020,arxiv:1908.04913,endpoints_compatible,region:us",无,clip-vit-large-patch14/,无,无,无,无,google/vit-base-patch16-224,openai/clip-vit-base-patch32,无,clip-vit-large-patch14/,False,False,[],主配置文件,success,
timm/mobilenetv3_small_100.lamb_in1k,未知,21095652,54,未知,timm,image-classification,"timm,pytorch,safetensors,image-classification,transformers,dataset:imagenet-1k,arxiv:2110.00476,arxiv:1905.02244,license:apache-2.0,region:us",无,无,无,无,无,无,无,无,无,基座模型,False,False,['imagenet-1k'],官方基座模型,success,
FacebookAI/xlm-roberta-base,未知,20575069,798,未知,transformers,fill-mask,"transformers,pytorch,tf,jax,onnx,safetensors,xlm-roberta,fill-mask,exbert,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:1911.02116,license:mit,endpoints_compatible,deploy:azure,region:us",无,无,无,无,无,无,bert-base-uncased,无,无,bert-base-uncased,True,False,[],模型ID语义解析,success,
